SITE_ID,VISIT_NO,chla_log,DOY_COL,E_pr_gt90,E_pr_gt90_jja,E_pr_gt90_mam,E_pr_gt95,E_pr_gt95_jja,E_pr_gt95_mam,E_pr_gt99,E_pr_gt99_jja,E_pr_gt99_mam,MONTH_COL,TN_tn_log,TN_tn_ugl,TP_tp_log,TP_tp_ugl,airtemp_ann,airtemp_jja,airtemp_mam,area_ha,area_ha_log,cur_NANI,cur_NANI_FERT,cur_NANI_FERT_log,cur_NANI_arcsinh,cur_NAPI,cur_NAPI_FERT,cur_NAPI_FERT_log,cur_NAPI_arcsinh,depth_m,depth_m_log,flux_NFERTxE_pr_gt90,flux_NFERTxE_pr_gt95,flux_NFERTxE_pr_gt99,flux_NFERTxprec_tot_ann_mm,flux_NFERTxprec_tot_ann_mm_log,flux_PFERTxE_pr_gt90,flux_PFERTxE_pr_gt95,flux_PFERTxE_pr_gt99,flux_PFERTxprec_tot_ann_mm,flux_PFERTxprec_tot_ann_mm_log,flux_Q_TN,flux_lnQ_TN,lat_dd,lon_dd,pdsi_ann,pdsi_jja,pdsi_mam,prec_tot_ann_mm,prec_tot_ann_mm_log,prec_tot_jja_mm,prec_tot_jja_mm_log,prec_tot_mam_mm,prec_tot_mam_mm_log,strat_buoy_freq_s2,strat_surfminbot,strat_thermod_log,strat_thermod_m,temp_bot,temp_mean,temp_surf
NLA06608-0001,1,-1.42711635564,212,605.220571429,37.4057142857,185.250285714,314.233142857,21.8674285714,137.396571429,0.0,0.0,0.0,7,5.01727983681,151.0,1.79175946923,6.0,1.65517095195,12.7453009299,1.11126811594,66.2930555,4.19408514812,224.3619428,481.3614649,6.17661847416,6.10641271082,53.41165466,98.51326598,4.59019121911,4.67126377631,8.3,2.1162555148,291329.860851,151259.725966,0.0,532920.958453,13.1861283966,59622.2551298,30956.133182,0.0,109065.199345,11.5997011415,7042.4547472,8.55006747406,48.9790286,-114.0218399,-0.971522310506,-0.290994968427,-0.299368588821,1107.11180124,7.00950992241,106.039337474,4.66381013351,358.757763975,5.88264740858,0.00694847208259,6.1,1.87260865019,6.50524419077,10.2,14.9777777778,16.3
NLA06608-0002,2,3.03879176301,204,698.784786642,299.417439704,15.0,472.896103896,181.734693878,0.0,0.0,0.0,0.0,7,6.15060276845,469.0,3.09104245336,22.0,19.6387942396,27.4846079951,18.1178532609,14.43799807,2.66986348604,1457.843423,405.8298939,6.00593409126,7.97786081336,169.6151087,65.93074214,4.18860482955,5.82668767398,1.3,0.262364264467,283587.755822,191915.37567,0.0,444152.668824,13.003923631,46071.3995794,31178.391085,0.0,72156.6240417,11.1865943693,1772.37291267,7.17042995636,33.036064,-79.9837905,-2.88186886094,-3.07591329921,-2.19435607303,1094.43063584,6.99798953975,448.234104046,6.10531564961,100.356936416,4.60873319509,0.00905558983202,1.7,-0.430782916092,0.65,23.9,24.8333333333,25.6
NLA06608-0003,1,2.83085763036,241,876.353344768,463.493996569,164.314751286,654.993996569,328.685248714,136.509433962,164.118353345,81.4596912521,42.5017152659,8,6.6039438246,738.0,3.76120011569,43.0,22.4893935547,28.6368498429,22.1164990942,5.701736559,1.74077078791,2475.274978,4340.557336,8.37575803728,8.50725399242,226.7623135,482.0695404,6.17808837833,6.11705443416,2.5,0.916290731874,3803861.93956,2843038.99684,712365.122584,4171638.09425,15.243819345,422463.25414,315752.654891,79116.4591682,463309.087552,13.046149686,8413.75661241,8.72797873723,28.0477421,-97.8598661,1.87463331223,2.32107210159,1.56063091755,961.083513319,6.86806130771,475.045356371,6.16341028657,190.210223182,5.24812989831,0.0023856753924,1.2,-0.297783356903,0.74246217163,29.4,29.96,30.6
NLA06608-0004,1,1.5260563035,191,339.098436063,55.9797608096,60.8426862926,226.684452622,36.9797608096,32.758049678,110.990800368,0.0,0.0,7,5.84064165737,344.0,2.8903717579,18.0,9.38947802957,21.5189377052,8.72687952899,65.38630923,4.18031289756,500.1610752,189.2314143,5.24297068036,6.90807837686,-15.19013968,18.25938026,2.90467893483,-3.41487540498,6.3,1.8405496334,64168.0766431,42895.8195695,21002.9461279,94069.2748638,11.4517867565,6191.72728965,4139.11761946,2026.62322928,9076.96360499,9.11349501093,5130.0625741,8.23322853577,37.4166201,-108.4045832,-1.32503170001,-1.54985578603,-1.61700500265,497.112359551,6.2088160761,115.731658956,4.75127422647,107.172504957,4.67443973213,0.00311200519645,1.6,1.67709656091,5.35,19.0,20.2428571429,20.6
NLA06608-0005,1,0.190620359609,199,342.822878412,23.0923573201,22.1445657568,205.678759305,0.0,0.0,72.310719603,0.0,0.0,7,4.44265125649,85.0,1.38629436112,4.0,3.42402939944,14.7030907849,1.87636775362,19.48761255,2.96977900986,357.1824415,157.9133069,5.06204619193,6.57139583198,30.26644457,28.01906815,3.33288528375,4.10345963641,6.1,1.80828877118,54136.294411,32479.4130409,11418.8248568,108864.109455,11.5978556812,9605.5775936,5762.92717397,2026.07898053,19316.1106039,9.868694773,5754.81551244,8.34814766372,43.9292093,-114.8403862,-1.65950161228,-2.60239902901,-1.40866751701,689.391613616,6.53580948925,37.9204560218,3.63549070321,135.132031961,4.90625231502,0.000405447667183,0.2,1.49165487678,4.44444444444,19.9,20.0428571429,20.1
NLA06608-0005,2,-0.916290731874,234,342.822878412,23.0923573201,22.1445657568,205.678759305,0.0,0.0,72.310719603,0.0,0.0,8,4.21950770518,68.0,1.09861228867,3.0,3.42402939944,14.7030907849,1.87636775362,19.48761255,2.96977900986,357.1824415,157.9133069,5.06204619193,6.57139583198,30.26644457,28.01906815,3.33288528375,4.10345963641,6.9,1.9315214116,54136.294411,32479.4130409,11418.8248568,108864.109455,11.5978556812,9605.5775936,5762.92717397,2026.07898053,19316.1106039,9.868694773,5754.81551244,8.34814766372,43.9292093,-114.8403862,-1.65950161228,-2.60239902901,-1.40866751701,689.391613616,6.53580948925,37.9204560218,3.63549070321,135.132031961,4.90625231502,0.000436053577271,0.2,1.82454929205,6.2,17.3,17.525,17.5
NLA06608-0006,1,1.40609698842,198,926.939281058,210.994412367,336.983050847,531.914881728,76.6822499534,298.496740547,94.6658595642,0.0,94.6658595642,7,5.21493575761,184.0,1.94591014906,7.0,9.30679652272,20.2607175965,6.97650815217,56.19974819,4.02891227628,1600.183515,290.1401698,5.67036415035,8.07102087672,74.75306828,38.00506924,3.63771955188,5.00738217477,25.3,3.23080439573,268942.3204,154329.874104,27466.3685682,437121.939303,12.9879674725,35228.3915579,20215.4619099,3597.7825474,57258.012846,10.955322874,48238.3520186,10.4742650687,41.6831462,-73.1465177,0.256148045467,0.962633353743,1.33400149065,1506.5888312,7.31760332212,359.575661644,5.88492461856,484.5362796,6.18319230902,0.0147150177431,19.84,1.52403633415,4.59071751933,5.46,10.9148,25.3
NLA06608-0006,2,1.16938135956,242,926.939281058,210.994412367,336.983050847,531.914881728,76.6822499534,298.496740547,94.6658595642,0.0,94.6658595642,8,5.40717177146,223.0,1.38629436112,4.0,9.30679652272,20.2607175965,6.97650815217,56.19974819,4.02891227628,1600.183515,290.1401698,5.67036415035,8.07102087672,74.75306828,38.00506924,3.63771955188,5.00738217477,23.8,3.16968558068,268942.3204,154329.874104,27466.3685682,437121.939303,12.9879674725,35228.3915579,20215.4619099,3597.7825474,57258.012846,10.955322874,48238.3520186,10.4742650687,41.6831462,-73.1465177,0.256148045467,0.962633353743,1.33400149065,1506.5888312,7.31760332212,359.575661644,5.88492461856,484.5362796,6.18319230902,0.0103878595938,19.03,1.70868452623,5.52169305559,5.67,11.0056,24.7
NLA06608-0007,1,0.887891257352,205,647.981647059,195.831058824,96.8352941177,431.864470588,116.825882353,43.8616470589,115.786823529,31.3350588235,0.0,7,6.20050917404,493.0,2.07944154168,8.0,6.79424515286,21.3988607125,6.87509963768,25.4747633,3.2376882876,4301.899558,2291.90544,7.73713882044,9.05995915588,750.9040446,288.7393803,5.66552448298,7.31442549736,19.2,2.95491027903,1485112.66191,989792.529483,265372.450726,2007292.20516,14.5122972102,187097.819218,124696.279611,33432.2156727,252883.167553,12.4406828727,8132.73834299,8.69400836539,45.5806455,-92.040018,-3.86381101608,-4.68993080678,-3.21632577486,875.818072651,6.77515838975,264.435905134,5.5775988973,174.934854398,5.16441364403,0.0119279346649,21.9,1.54765740696,4.70044604289,4.8,11.145,26.7
NLA06608-0008,1,3.40916555131,193,914.03474026,320.129545454,281.89512987,692.367532468,226.413961039,224.695779221,293.659090909,92.1613636364,164.267532467,7,6.68586094707,801.0,4.18965474203,66.0,10.80439013,25.1381541907,11.6948097826,48.7370362,3.88643923798,3517.168523,3333.172595,8.11167986065,8.85855874879,9.093787649,456.3603016,6.12328263261,2.90374815305,5.5,1.70474809224,3046635.54711,2307780.48489,978816.43409,3956245.10076,15.1908059265,417129.169738,315969.055935,134014.351295,541668.082263,13.2024086985,20333.9233631,9.61040127192,41.292111,-93.5904049,-0.17405818984,-0.0459614801254,-1.04109161627,1186.93076581,7.07912606587,382.599732858,5.94698935878,386.026268923,5.95590542135,0.00828004369273,9.3,1.25279414549,3.50010912117,18.0,24.2,27.3
NLA06608-0008,2,4.99856271286,234,914.03474026,320.129545454,281.89512987,692.367532468,226.413961039,224.695779221,293.659090909,92.1613636364,164.267532467,8,7.32974968904,1525.0,4.36944785247,79.0,10.80439013,25.1381541907,11.6948097826,48.7370362,3.88643923798,3517.168523,3333.172595,8.11167986065,8.85855874879,9.093787649,456.3603016,6.12328263261,2.90374815305,5.5,1.70474809224,3046635.54711,2307780.48489,978816.43409,3956245.10076,15.1908059265,417129.169738,315969.055935,134014.351295,541668.082263,13.2024086985,20333.9233631,9.61040127192,41.292111,-93.5904049,-0.17405818984,-0.0459614801254,-1.04109161627,1186.93076581,7.07912606587,382.599732858,5.94698935878,386.026268923,5.95590542135,0.0104952186395,10.5,1.31562423047,3.72707681417,18.3,25.2333333333,28.8
